txNomeParlamentar,genero
Giovani Cherini,H
Gisela Simona,M
Glauber Braga,H
Glaustin da Fokus,H
Gleisi Hoffmann,M
Gláucia Santiago,M
Greyce Elias,M
Guilherme Boulos,H
Guilherme Derrite,H
Guilherme Uchoa,H
Gustavo Gayer,H
Gustinho Ribeiro,H
Gutemberg Reis,H
Heitor Schuch,H
Helder Salomão,H
Helena Lima,M
Helio Lopes,H
Henderson Pinto,H
Henrique Júnior,H
Hercílio Coelho Diniz,H
Hildo Rocha,H
Hildo do Candango,H
Hugo Leal,H
Hugo Motta,H
Hélio Leite,H
Icaro de Valmir,H
Idilvan Alencar,H
Igor Timo,H
Ismael,H
Isnaldo Bulhões Jr.,H
Ivan Junior,H
Ivan Valente,H
Ivoneide Caetano,M
Iza Arruda,M
Jack Rocha,M
Jadyel Alencar,H
Jandira Feghali,M
Jeferson Rodrigues,H
Jefferson Campos,H
Jhonatan de Jesus,H
Jilmar Tatto,H
Joaquim Passarinho,H
Jonas Donizette,H
Jones Moura,H
Jorge Braz,H
Jorge Goetten,H
Jorge Solla,H
Joseildo Ramos,H
Josenildo,H
Josias Gomes,H
Josimar Maranhãozinho,H
Josivaldo JP,H
José Airton Félix Cirilo,H
José Guimarães,H
José Medeiros,H
José Nelto,H
José Priante,H
José Rocha,H
João Carlos Bacelar,H
João Cury,H
João Daniel,H
João Leão,H
João Maia,H
Juarez Costa,H
Julia Zanatta,M
Juliana Cardoso,M
Juliana Kolankiewicz,M
Julio Arcoverde,H
Julio Cesar Ribeiro,H
Julio Lopes,H
Juninho do Pneu,H
Junio Amaral,H
Junior Lourenço,H
Juscelino Filho,H
Júlio Cesar,H
Júlio Oliveira,H
Júnior Ferrari,H
Júnior Mano,H
Katia Dias,M
Keniston Braga,H
Kiko Celeguim,H
Kim Kataguiri,H
Lafayette de Andrada,H
Laura Carneiro,M
Leandre,M
Lebrão,H
Lenir de Assis,M
Leo Prates,H
Leonardo Gadelha,H
Leonardo Monteiro,H
Leur Lomanto Júnior,H
Leônidas Cristino,H
Lincoln Portela,H
Lindbergh Farias,H
Loreny,M
Lucas Ramos,H
Lucas Redecker,H
Luciano Alves,H
Luciano Amaral,H
Luciano Azevedo,H
Luciano Bivar,H
Luciano Ducci,H
Luciano Galego,H
Luciano Vieira,H
Lucio Mosquini,H
Lucyana Genésio,M
Luis Carlos Gomes,H
Luis Tibé,H
Luisa Canziani,M
Luiz Antonio Corrêa,H
Luiz Carlos Busato,H
Luiz Carlos Hauly,H
Luiz Carlos Motta,H
Luiz Couto,H
Luiz Fernando Faria,H
Luiz Fernando Vampiro,H
Luiz Gastão,H
Luiz Lima,H
Luiz Marinho,H
Luiz Nishimori,H
Luiz Philippe de Orleans e Bragança,H
Luiza Erundina,M
Luizianne Lins,M
Lula da Fonte,H
Lázaro Botelho,H
Lêda Borges,M
Lídice da Mata,M
Magda Mofatto,M
Marangoni,H
Marcel van Hattem,H
Marcelo Calero,H
Marcelo Crivella,H
Marcelo Lima,H
Marcelo Moraes,H
Marcelo Queiroz,H
Marcelo Queiroz,H
Marcelo Ramos,H
Marcelo Álvaro Antônio,H
Marcio Alvino,H
Marco Bertaiolli,H
Marco Brasil,H
Marcon,H
Marcos Aurélio Sampaio,H
Marcos Pereira,H
Marcos Pollon,H
Marcos Soares,H
Marcos Tavares,H
Maria Arraes,M
Maria Rosas,M
Maria do Rosário,M
Mariana Carvalho,M
Marina Silva,M
Mario Frias,H
Marreca Filho,H
Marussa Boldrin,M
Marx Beltrão,H
Matheus Noronha,H
Mauricio Marcon,H
Mauricio Neves,H
Mauricio do Vôlei,H
Mauro Benevides Filho,H
Maurício Carvalho,H
Max Lemos,H
Meire Serafim,M
Mendonça Filho,H
Merlong Solano,H
Mersinho Lucena,H
Messias Donato,H
Miguel Lombardi,H
Miguel Ângelo,H
Milton Vieira,H
Misael Varella,H
Missionária Michele Collins,M
Missionário José Olimpio,H
Moses Rodrigues,H
Murillo Gouvea,H
Murilo Galdino,H
Márcio Biolchi,H
Márcio Correa,H
Márcio Honaiser,H
Márcio Jerry,H
Márcio Marinho,H
Mário Heringer,H
Mário Negromonte Jr.,H
Natália Bonavides,M
Naumi Amorim,H
Nelson Barbudo,H
Nely Aquino,M
Neto Carletto,H
Newton Bonin,H
Newton Cardoso Jr,H
Ney Leprevost,H
Nicoletti,H
Nikolas Ferreira,H
Nilto Tatto,H
Nitinho,H
Odair Cunha,H
Olival Marques,H
Orlando Silva,H
Osmar Terra,H
Osmar Terra,H
Ossesio Silva,H
Otoni de Paula,H
Otto Alencar Filho,H
Padovani,H
Padre João,H
Pastor Claudio Mariano,H
Pastor Diniz,H
Pastor Eurico,H
Pastor Gil,H
Pastor Henrique Vieira,H
Pastor Sargento Isidório,H
Patrus Ananias,H
Pauderney Avelino,H
Paulinho Freire,H
Paulinho da Força,H
Paulo Abi-Ackel,H
Paulo Alexandre Barbosa,H
Paulo Azi,H
Paulo Folletto,H
Paulo Freire Costa,H
Paulo Guedes,H
Paulo Litro,H
Paulo Magalhães,H
Paulo Marinho Jr,H
Paulo Pimenta,H
Paulo Teixeira,H
Paulão,H
Pedro Aihara,H
Pedro Campos,H
Pedro Jr,H
Pedro Lucas Fernandes,H
Pedro Lupion,H
Pedro Paulo,H
Pedro Tourinho,H
Pedro Uczai,H
Pedro Westphalen,H
Perpétua Almeida,M
Pezenti,H
Pinheirinho,H
Pompeo de Mattos,H
Pr. Marco Feliciano,H
Priscila Costa,M
Prof. Paulo Fernando,H
Prof. Reginaldo Veras,H
Professor Alcides,H
Professor Joziel,H
Professora Goreth,M
Professora Luciene Cavalcante,M
Rafael Brito,H
Rafael Prudente,H
Rafael Simoes,H
Raimundo Costa,H
Raimundo Santos,H
Raniery Paulino,H
Reginaldo Lopes,H
Reginete Bispo,M
Reimont,H
Reinhold Stephanes,H
Renan Ferreirinha,H
Renata Abreu,M
Renilce Nicodemos,M
Renildo Calheiros,H
Ribamar Silva,H
Ricardo Abrão,H
Ricardo Ayres,H
Ricardo Barros,H
Ricardo Guidi,H
Ricardo Maia,H
Ricardo Salles,H
Ricardo Silva,H
Ricardo da Karol,H
Roberta Roma,M
Roberto Duarte,H
Roberto Monteiro Pai,H
Robinson Faria,H
Robinson Faria,H
Robério Monteiro,H
Rodolfo Nogueira,H
Rodrigo Estacho,H
Rodrigo Gambale,H
Rodrigo Valadares,H
Rodrigo da Zaeli,H
Rodrigo de Castro,H
Rogéria Santos,M
Rogério Correia,H
Romero Rodrigues,H
Ronaldo Nogueira,H
Rosana Valle,M
Rosangela Gomes,M
Rosangela Moro,M
Roseana Sarney,M
Rosângela Reis,M
