ideCadastro;Nome_deputado;Partido;UF;cat_cargo_titusup
74454;Eunício Oliveira;MDB;CE;Titular
178871;Evair Vieira de Melo;PP;ES;Titular
178905;Fabio Garcia;UNIÃO;MT;Titular
220681;Fábio Macedo;PODE;MA;Titular
171623;Fabio Reis;PSD;SE;Titular
204368;Fabio Schiochet;UNIÃO;SC;Titular
220653;Fábio Teruel;MDB;SP;Titular
66828;Fausto Pinato;PP;SP;Titular
220712;Fausto Santos Jr.;UNIÃO;AM;Titular
220646;Felipe Becari;UNIÃO;SP;Titular
72442;Felipe Carreras;PSB;PE;Titular
204398;Felipe Francischini;UNIÃO;PR;Titular
160666;Félix Mendonça Júnior;PDT;BA;Titular
204407;Fernanda Melchionna;PSOL;RS;Titular
220656;Fernanda Pessoa;UNIÃO;CE;Titular
141431;Fernando Coelho Filho;UNIÃO;PE;Titular
204445;Fernando Mineiro;PT;RN;Titular
92699;Fernando Monteiro;REPUBLICANOS;PE;Titular
204427;Fernando Rodolfo;PL;PE;Titular
204411;Filipe Barros;PL;PR;Titular
220545;Filipe Martins;PL;TO;Titular
160598;Flávia Morais;PDT;GO;Titular
191923;Flávio Nogueira;PT;PI;Titular
220700;Florentino Neto;PT;PI;Titular
220551;Franciane Bayer;REPUBLICANOS;RS;Titular
204494;Fred Costa;PRD;MG;Titular
220534;Fred Linhares;REPUBLICANOS;DF;Titular
220708;Gabriel Nunes;PSD;BA;Titular
204473;General Girão;PL;RN;Titular
220611;General Pazuello;PL;RJ;Titular
220702;Geraldo Mendes;UNIÃO;PR;Titular
74374;Geraldo Resende;PSDB;MS;Titular
220587;Gerlen Diniz;PP;AC;Titular
204394;Gervásio Maia;PSB;PB;Titular
74383;Giacobo;PL;PR;Titular
204491;Gilberto Abramo;REPUBLICANOS;MG;Titular
74270;Gilberto Nascimento;PSD;SP;Titular
220529;Gilson Daniel;PODE;ES;Titular
204365;Gilson Marques;NOVO;SC;Titular
220526;Gilvan da Federal;PL;ES;Titular
220531;Gilvan Maximo;REPUBLICANOS;DF;Titular
160673;Giovani Cherini;PL;RS;Titular
152605;Glauber Braga;PSOL;RJ;Titular
204419;Glaustin da Fokus;PODE;GO;Titular
107283;Gleisi Hoffmann;PT;PR;Titular
198197;Greyce Elias;AVANTE;MG;Titular
220639;Guilherme Boulos;PSOL;SP;Titular
204531;Guilherme Derrite;PL;SP;Titular
220664;Guilherme Uchoa;PSB;PE;Titular
220568;Gustavo Gayer;PL;GO;Titular
204408;Gustinho Ribeiro;REPUBLICANOS;SE;Titular
204456;Gutemberg Reis;MDB;RJ;Titular
178964;Heitor Schuch;PSB;RS;Titular
178873;Helder Salomão;PT;ES;Titular
220537;Helena Lima;MDB;RR;Titular
204444;Helio Lopes;PL;RJ;Titular
220672;Henderson Pinto;MDB;PA;Titular
204539;Hercílio Coelho Diniz;MDB;MG;Titular
141450;Hugo Leal;PSD;RJ;Titular
160674;Hugo Motta;REPUBLICANOS;PB;Titular
220563;Icaro de Valmir;PL;SE;Titular
204533;Idilvan Alencar;PDT;CE;Titular
204508;Igor Timo;PSD;MG;Titular
98615;Ismael;PSD;SC;Titular
204436;Isnaldo Bulhões Jr.;MDB;AL;Titular
220696;Ivoneide Caetano;PT;BA;Titular
220670;Iza Arruda;MDB;PE;Titular
220527;Jack Rocha;PT;ES;Titular
220697;Jadyel Alencar;REPUBLICANOS;PI;Titular
74848;Jandira Feghali;PCdoB;RJ;Titular
220567;Jeferson Rodrigues;REPUBLICANOS;GO;Titular
74273;Jefferson Campos;PL;SP;Titular
160531;Jhonatan de Jesus;REPUBLICANOS;RR;Titular
141456;Jilmar Tatto;PT;SP;Titular
141458;João Carlos Bacelar;PL;BA;Titular
178970;João Daniel;PT;SE;Titular
74550;João Leão;PP;BA;Titular
141459;João Maia;PP;RN;Titular
178910;Joaquim Passarinho;PL;PA;Titular
160548;Jonas Donizette;PSB;SP;Titular
205550;Jorge Braz;REPUBLICANOS;RJ;Titular
214694;Jorge Goetten;REPUBLICANOS;SC;Titular
178857;Jorge Solla;PT;BA;Titular
141464;José Airton Félix Cirilo;PT;CE;Titular
141470;José Guimarães;PT;CE;Titular
204472;José Medeiros;PL;MT;Titular
204391;José Nelto;UNIÃO;GO;Titular
74079;José Priante;MDB;PA;Titular
74554;José Rocha;UNIÃO;BA;Titular
209189;Joseildo Ramos;PT;BA;Titular
220578;Josenildo;PDT;AP;Titular
204563;Josimar Maranhãozinho;PL;MA;Titular
215043;Josivaldo JP;PSD;MA;Titular
204474;Juarez Costa;MDB;MT;Titular
220559;Julia Zanatta;PL;SC;Titular
220640;Juliana Cardoso;PT;SP;Titular
66385;Julio Arcoverde;PP;PI;Titular
74317;Júlio Cesar;PSD;PI;Titular
204372;Julio Cesar Ribeiro;REPUBLICANOS;DF;Titular
74253;Julio Lopes;PP;RJ;Titular
204457;Juninho do Pneu;UNIÃO;RJ;Titular
204520;Junio Amaral;PL;MG;Titular
204497;Júnior Ferrari;PSD;PA;Titular
