ideCadastro;Nome_deputado;Partido;UF;cat_cargo_titusup
227800;Duarte Gonçalves Jr;REPUBLICANOS;MG;Suplente
223398;Ulisses Guimarães;MDB;MG;Suplente
228042;Naumi Amorim;PSD;CE;Suplente
228272;Délio Pinheiro;PDT;MG;Suplente
171139;Loreny;SOLIDARIEDADE;SP;Suplente
227991;Dr Flávio;PL;RJ;Suplente
228616;Dr. Remy Soares;PP;MA;Suplente
178884;Hildo Rocha;MDB;MA;Suplente
204449;Nelson Barbudo;PL;MT;Suplente
228797;Júlio Oliveira;PP;TO;Suplente
228837;Juliana Kolankiewicz;MDB;MT;Suplente
228941;Daniel José;PODE;SP;Suplente
229069;Capitão Samuel;PP;SE;Suplente
122195;Leonardo Gadelha;PODE;PB;Suplente
229082;Lucyana Genésio;PDT;MA;Suplente
229112;Pedro Jr;PL;TO;Suplente
229106;Carla Ayres;PT;SC;Suplente
212625;Dr. Gonçalo;PODE;MA;Suplente
220008;Eliza Virgínia;PP;PB;Suplente
229225;Missionária Michele Collins;PP;PE;Suplente
74052;Bosco Costa;PL;SE;Suplente
229259;Pedro Tourinho;PT;SP;Suplente
68720;Fábio Henrique;UNIÃO;SE;Suplente
229333;Gláucia Santiago;PL;MG;Suplente
229432;Luiz Fernando Vampiro;MDB;SC;Suplente
229585;Elisangela Araujo;PT;BA;Suplente
229939;Newton Bonin;UNIÃO;PR;Suplente
230088;Dra. Mayra Pinheiro;PL;CE;Suplente
230177;Tadeu Oliveira;PL;CE;Suplente
175765;Ribamar Silva;PSD;SP;Suplente
230768;Zé Adriano;PP;AC;Suplente
213762;Carla Dickson;UNIÃO;RN;Suplente
230765;Enfermeira Rejane;PCdoB;RJ;Suplente
230764;Ivan Junior;UNIÃO;MA;Suplente
230762;Pastor Claudio Mariano;UNIÃO;PA;Suplente
230767;Rodrigo da Zaeli;PL;MT;Suplente
230957;João Cury;MDB;SP;Suplente
208297;Katia Dias;REPUBLICANOS;MG;Suplente
231911;Lenir de Assis;PT;PR;Suplente
160561;Missionário José Olimpio;PL;SP;Suplente
204376;Coronel Armando;PP;SC;Suplente
